Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,run_time,check_CE
Hunt,value-10,DBCE,DBCE,0,42,13.64652355,209.6998533,0.000403002,0.002040767,FALSE,51.33781195,0.003514187
Hunt,value-10,DBCE,DBCE,0,43,17.34779372,172.5080003,1.85E-06,0.002000832,FALSE,52.15163708,0.084156705
Hunt,value-10,DBCE,DBCE,0,44,10.69179494,235.388382,0.000188743,0.00196485,FALSE,54.39489579,0.002969
Hunt,value-10,DBCE,DBCE,0,45,15.99902248,186.0444693,2.37E-06,0.001965783,FALSE,56.53754854,0.036116225
Hunt,value-10,DBCE,DBCE,0,46,16.79796093,178.1146821,2.13E-06,0.001925048,FALSE,58.18817115,0.043972658
Hunt,value-10,DBCE,DBCE,0,47,17.36329992,172.5742762,1.83E-05,0.001867474,FALSE,59.72843814,0.083665398
Hunt,value-10,DBCE,DBCE,0,48,17.52902602,171.2916473,4.90E-06,0.001769756,TRUE,60.734833,0.034290082
Hunt,value-10,DBCE,DBCE,0,49,17.57423085,171.0207222,1.61E-06,0.001742328,FALSE,62.10417366,0.026657735
Hunt,value-10,DBCE,DBCE,0,50,17.61690571,170.7524962,2.09E-06,0.001701489,TRUE,62.96635652,0.025984925
Hunt,value-10,DBCE,DBCE,0,51,16.87788188,179.0270919,1.64E-06,0.00166656,FALSE,65.21813679,0.001755426
Hunt,value-10,DBCE,DBCE,0,52,12.22429322,221.9976797,0.01348133,0.033257472,FALSE,66.64787745,0.077469506
Hunt,value-10,DBCE,DBCE,0,53,17.19526884,173.9056262,2.02E-06,0.001605956,FALSE,67.49962711,0.039368387
Hunt,value-10,DBCE,DBCE,0,54,17.25399775,173.5503467,1.54E-06,0.001550443,TRUE,68.34835863,0.09354703
Hunt,value-10,DBCE,DBCE,0,55,16.50730706,181.9356312,2.01E-06,0.001475517,FALSE,69.28488088,0.001477705
Hunt,value-10,DBCE,DBCE,0,56,16.50127969,182.0165576,1.44E-06,0.001442821,TRUE,70.28353143,0.007736129
Hunt,value-10,DBCE,DBCE,0,57,17.29100664,173.407691,1.28E-06,0.001405698,FALSE,71.22002888,0.006981802
Hunt,value-10,DBCE,DBCE,0,58,16.72087182,179.3288578,1.41E-06,0.001387489,FALSE,72.50464368,0.016036301
Hunt,value-10,DBCE,DBCE,0,59,17.28660975,173.4922837,1.24E-06,0.001357682,FALSE,73.70895958,0.02212642
Hunt,value-10,DBCE,DBCE,0,60,13.63653526,210.9207976,2.04E-06,0.001343531,FALSE,75.06835318,0.001345533
Hunt,value-10,DBCE,DBCE,0,61,13.94753205,204.9169989,1.48E-05,0.001317425,FALSE,76.10760546,0.014230415
Hunt,value-10,DBCE,DBCE,0,62,17.01520661,175.4071952,3.63E-06,0.001312624,FALSE,77.27787971,0.055748779
Hunt,value-10,DBCE,DBCE,0,63,17.02158563,175.359201,1.26E-06,0.001291724,TRUE,78.37052226,0.051848221
Hunt,value-10,DBCE,DBCE,0,64,16.21321292,184.2318795,1.32E-06,0.001250136,FALSE,79.51945329,0.046774705
Hunt,value-10,DBCE,DBCE,0,65,17.03300062,175.3302734,1.10E-06,0.001218659,FALSE,80.88283992,0.02082072
Hunt,value-10,DBCE,DBCE,0,66,13.33554639,213.2943053,3.91E-06,0.001211219,FALSE,81.87370229,0.018792521
Hunt,value-10,DBCE,DBCE,0,67,16.86869156,176.4394669,1.08E-06,0.001208482,FALSE,83.45550132,0.067969135
Hunt,value-10,DBCE,DBCE,0,68,16.87656979,176.3861999,1.29E-06,0.001185457,TRUE,85.04486251,0.056043925
Hunt,value-10,DBCE,DBCE,0,69,16.87693538,176.3953584,1.03E-06,0.001155869,TRUE,86.48794842,0.040484828
Hunt,value-10,DBCE,DBCE,0,70,5.822837655,278.9165722,1.13E-06,0.001145191,FALSE,88.14555478,0.060860016
Hunt,value-10,DBCE,DBCE,0,71,16.36657136,179.6178327,1.65E-06,0.001143762,FALSE,90.02054381,0.0143999
Hunt,value-10,DBCE,DBCE,0,72,11.21350808,229.1255608,1.04E-06,0.001138037,FALSE,91.29713321,0.093520134
Hunt,value-10,DBCE,DBCE,0,73,15.28063543,188.6237474,1.07E-06,0.001117721,FALSE,92.84316254,0.10839174
Hunt,value-10,DBCE,DBCE,0,74,15.96408622,181.9487909,9.29E-07,0.001074301,FALSE,94.50275612,0.026991442
Hunt,value-10,DBCE,DBCE,0,75,15.61377137,185.3196155,1.36E-06,0.001067886,FALSE,95.64370728,0.085689937
Hunt,value-10,DBCE,DBCE,0,76,16.02677262,181.6257521,9.98E-07,0.001036267,FALSE,96.79716969,0.112430938
Hunt,value-10,DBCE,DBCE,0,77,15.10544543,191.5690911,1.27E-06,0.001005291,FALSE,97.86857152,0.091610252
Hunt,value-10,DBCE,DBCE,0,78,16.04949196,181.4435367,1.84E-05,0.000977396,FALSE,98.94721651,0.133714113
Hunt,value-10,DBCE,DBCE,0,79,15.11986241,191.4603059,2.56E-06,0.000950734,FALSE,99.83908844,0.084883301
Hunt,value-10,DBCE,DBCE,0,80,18.70878707,148.3563197,1.01E-05,0.012988605,FALSE,100.4125676,0.187282685
Hunt,value-10,DBCE,DBCE,0,81,16.13230244,180.9769001,0.00119981,0.002395171,FALSE,101.6174791,0.080152552
Hunt,value-10,DBCE,DBCE,0,82,16.13832327,180.7924316,8.45E-07,0.000887641,TRUE,102.5360372,0.109704891
Hunt,value-10,DBCE,DBCE,0,83,18.84206232,147.4770478,0.000127877,0.013083424,FALSE,103.5368681,0.158830205
Hunt,value-10,DBCE,DBCE,0,84,18.28993547,152.6698235,1.01E-05,0.01308291,FALSE,104.4778898,0.248467035
Hunt,value-10,DBCE,DBCE,0,85,18.38552521,151.7439757,1.06E-05,0.012955691,TRUE,105.2089641,0.265626191
Hunt,value-10,DBCE,DBCE,0,86,19.04803346,145.6761876,1.68E-05,0.012912346,FALSE,106.1335247,0.301256685
Hunt,value-10,DBCE,DBCE,0,87,19.11005148,145.3062545,1.22E-05,0.01290037,TRUE,107.9527204,0.199771984
Hunt,value-10,DBCE,DBCE,0,88,18.53770824,150.8423785,1.12E-05,0.012908691,FALSE,109.9012663,0.206250497
Hunt,value-10,DBCE,DBCE,0,89,19.16142705,145.0876245,1.20E-05,0.012857437,FALSE,111.1580732,0.172278602
Hunt,value-10,DBCE,DBCE,0,90,0.561190658,408.199918,0.572992725,14.33870602,FALSE,113.4656518,13.79472289
Hunt,value-10,DBCE,DBCE,0,91,17.85086376,156.8012339,8.21E-05,0.004695828,FALSE,115.4194562,0.293472068
Hunt,value-10,DBCE,DBCE,0,92,17.96654171,155.7346044,5.55E-06,0.004524251,TRUE,117.2166536,0.218079938
Hunt,value-10,DBCE,DBCE,0,93,18.68753566,149.0501597,3.46E-06,0.004420185,FALSE,118.0764163,0.245045656
Hunt,value-10,DBCE,DBCE,0,94,6.528784783,256.2597944,3.27E-05,0.004559617,FALSE,119.7968473,0.004560711
Hunt,value-10,DBCE,DBCE,0,95,18.45723291,151.678455,4.14E-06,0.004194603,FALSE,121.0295875,0.199618814
Hunt,value-10,DBCE,DBCE,0,96,18.50436242,151.4023084,3.22E-06,0.004256169,TRUE,122.2553403,0.213285083
Hunt,value-10,DBCE,DBCE,0,97,18.53587901,151.3099151,3.51E-06,0.00444146,TRUE,124.7188098,0.190597383
Hunt,value-10,DBCE,DBCE,0,98,18.57750269,151.0728022,5.23E-05,0.004465587,TRUE,126.1649454,0.195988125
Hunt,value-10,DBCE,DBCE,0,99,2.359807143,289.8408595,4.99E-06,0.004485319,FALSE,127.5757444,0.004487353
Hunt,value-10,DBCE,DBCE,0,100,13.7735136,193.5006018,0.005686164,0.003968275,FALSE,129.0877109,0.227472779
Hunt,value-10,DBCE,DBCE,0,101,5.334861643,260.1295779,0.000643713,0.004058792,FALSE,130.0790951,0.006268978
Hunt,value-10,DBCE,DBCE,0,102,18.08255601,155.7836196,4.10E-06,0.003649144,FALSE,130.9497895,0.277829863
Hunt,value-10,DBCE,DBCE,0,103,18.18864549,154.829062,3.59E-06,0.003636487,TRUE,132.1875114,0.279276347
Hunt,value-10,DBCE,DBCE,0,104,18.32435513,153.485359,4.14E-06,0.003675469,TRUE,133.1305478,0.19255157
Hunt,value-10,DBCE,DBCE,0,105,17.70272935,158.8050787,0.000493347,0.003727539,FALSE,134.6026411,0.229243414
Hunt,value-10,DBCE,DBCE,0,106,18.52163898,151.7477501,0.007623605,0.016468578,FALSE,135.9729624,0.117857502
Hunt,value-10,DBCE,DBCE,0,107,18.59895232,150.8073951,4.13E-06,0.003884261,TRUE,137.2046995,0.161183867
Hunt,value-10,DBCE,DBCE,0,108,18.71173451,149.7546199,3.14E-06,0.00391129,TRUE,138.5151827,0.179252485
Hunt,value-10,DBCE,DBCE,0,109,18.81748824,148.7389547,2.98E-06,0.003950616,TRUE,139.3838592,0.208920886
Hunt,value-10,DBCE,DBCE,0,110,18.90343666,147.8434902,4.34E-06,0.003994665,TRUE,140.8371909,0.135616865
Hunt,value-10,DBCE,DBCE,0,111,18.95690288,147.2892258,3.00E-06,0.004088648,TRUE,142.2195332,0.263130117
Hunt,value-10,DBCE,DBCE,0,112,17.74842333,157.6615726,6.56E-05,0.004174209,FALSE,143.7953987,0.267067028
Hunt,value-10,DBCE,DBCE,0,113,18.41787173,151.6783103,6.37E-06,0.004216441,FALSE,145.4051256,0.189173859
Hunt,value-10,DBCE,DBCE,0,114,18.48875324,151.362719,0.016624651,0.004321532,TRUE,146.9919045,0.239535508
Hunt,value-10,DBCE,DBCE,0,115,19.35020682,143.2553317,3.18E-06,0.004328239,FALSE,148.5921619,0.101404605
Hunt,value-10,DBCE,DBCE,0,116,19.4001439,142.7436244,3.98E-06,0.004348892,TRUE,149.8159156,0.10871625
Hunt,value-10,DBCE,DBCE,0,117,19.47162584,142.029013,3.22E-06,0.004402976,TRUE,151.052017,0.20483641
Hunt,value-10,DBCE,DBCE,0,118,19.57289561,140.9877466,3.22E-06,0.004454728,TRUE,152.4951849,0.241987145
Hunt,value-10,DBCE,DBCE,0,119,19.70206209,139.6809168,4.67E-06,0.004460462,TRUE,153.2951047,0.20351713
Hunt,value-10,DBCE,DBCE,0,120,19.80667785,138.6340982,4.79E-06,0.004639381,TRUE,154.3017135,0.22418537
Hunt,value-10,DBCE,DBCE,0,121,15.56911734,174.1312265,1.02E-05,0.004650898,FALSE,155.0886436,0.15886891
Hunt,value-10,DBCE,DBCE,0,122,19.25680045,143.2502313,0.000294132,0.00461063,FALSE,156.1438539,0.127158637
Hunt,value-10,DBCE,DBCE,0,123,19.32938715,142.5337133,4.50E-06,0.004718405,TRUE,157.1042826,0.203613969
Hunt,value-10,DBCE,DBCE,0,124,15.61647535,170.3432682,0.201110854,0.200848166,FALSE,158.9145007,0.00871256
Hunt,value-10,DBCE,DBCE,0,125,19.383483,150.2662071,0.205653076,0.539495813,FALSE,160.053457,0.554996147
Hunt,value-10,DBCE,DBCE,0,126,20.2816389,133.855064,3.28E-06,0.004668891,FALSE,161.3559761,0.132449352
Hunt,value-10,DBCE,DBCE,0,127,20.38174263,132.8839031,4.32E-06,0.004754841,TRUE,162.5597591,0.05649314
Hunt,value-10,DBCE,DBCE,0,128,19.70922071,138.7627781,4.76E-06,0.004862728,FALSE,163.6957486,0.141969675
Hunt,value-10,DBCE,DBCE,0,129,20.52573412,503.002188,13.34893179,14.3225264,FALSE,164.4826715,12.8482147
Hunt,value-10,DBCE,DBCE,0,130,20.53216703,131.4158023,0.000145181,0.004901374,FALSE,165.7044356,0.214786412
Hunt,value-10,DBCE,DBCE,0,131,20.0008743,135.9061899,4.19E-06,0.004365452,FALSE,166.6917968,0.146490879
Hunt,value-10,DBCE,DBCE,0,132,20.1115946,134.8483876,3.83E-06,0.004440717,TRUE,167.7689641,0.097316478
Hunt,value-10,DBCE,DBCE,0,133,17.52972403,156.721371,3.52E-06,0.004578519,FALSE,168.7174993,0.107863636
Hunt,value-10,DBCE,DBCE,0,134,20.24921519,133.5495783,4.35E-06,0.004643009,FALSE,169.7248361,0.066876723
Hunt,value-10,DBCE,DBCE,0,135,13.92939588,186.7704795,4.15E-06,0.004665164,FALSE,171.1989253,0.064829262
Hunt,value-10,DBCE,DBCE,0,136,17.59195793,156.3500545,0.002844752,0.011105333,FALSE,173.3331401,0.151906459
Hunt,value-10,DBCE,DBCE,0,137,20.43417433,131.8075456,4.48E-06,0.004762036,FALSE,174.5447791,0.066307154
Hunt,value-10,DBCE,DBCE,0,138,20.51662126,131.0332452,3.36E-06,0.004755871,TRUE,175.6218777,0.081977341
Hunt,value-10,DBCE,DBCE,0,139,188.9133743,639.9243932,36.20801763,199.6407258,FALSE,176.909863,204.039012
Hunt,value-10,DBCE,DBCE,0,140,17.10443882,159.8447666,3.27E-05,0.004868257,FALSE,178.4081366,0.079797147
Hunt,value-10,DBCE,DBCE,0,141,20.78694405,128.5309496,4.56E-06,0.004866772,FALSE,179.4788029,0.125438286
Hunt,value-10,DBCE,DBCE,0,142,16.91308517,161.1511258,0.001497529,0.006796186,FALSE,181.5094187,0.104425764
Hunt,value-10,DBCE,DBCE,0,143,22.17240153,1249.189237,29.09835762,165.4962043,FALSE,183.2248814,164.2343093
Hunt,value-10,DBCE,DBCE,0,144,18.04115376,151.750476,4.03E-06,0.004951883,FALSE,184.3029149,0.03983982
Hunt,value-10,DBCE,DBCE,0,145,20.81012428,174.2782734,1.166312562,4.403791505,FALSE,185.5687153,4.425728524
Hunt,value-10,DBCE,DBCE,0,146,17.29147152,160.3300792,4.74E-06,0.005039247,FALSE,188.2836888,0.068607509
Hunt,value-10,DBCE,DBCE,0,147,17.56946787,155.7165046,4.33E-06,0.004878518,FALSE,189.7481399,0.031350281
Hunt,value-10,DBCE,DBCE,0,148,18.22940689,150.3566721,0.009288146,0.013038765,FALSE,191.0895691,0.026499429
Hunt,value-10,DBCE,DBCE,0,149,20.96903692,126.8658115,4.26E-06,0.004968338,FALSE,192.5497973,0.038756774
Hunt,value-10,DBCE,DBCE,0,150,15.15669681,180.1949096,0.042194407,0.228542481,FALSE,194.3469043,0.229158764
Hunt,value-10,DBCE,DBCE,0,151,10.6324319,214.7744778,6.62E-06,0.004914999,FALSE,195.7601573,0.004916492
Hunt,value-10,DBCE,DBCE,0,152,14.63486903,180.6498126,2.74E-05,0.004836345,FALSE,197.1853535,0.004839242
Hunt,value-10,DBCE,DBCE,0,153,18.13549043,150.8396965,4.14E-06,0.004960017,FALSE,198.2531908,0.004961616
Hunt,value-10,DBCE,DBCE,0,154,20.888006,127.6789085,3.55E-06,0.005080005,FALSE,199.0410855,0.044577995
Hunt,value-10,DBCE,DBCE,0,155,20.3257081,140.8276815,0.252415891,0.005092911,FALSE,200.1088796,0.029919688
Hunt,value-10,DBCE,DBCE,0,156,14.49615412,181.8126865,3.99E-06,0.005001262,FALSE,201.085305,0.006083366
Hunt,value-10,DBCE,DBCE,0,157,15.37816017,778.4153237,17.63724855,46.68028435,FALSE,202.0666823,48.77259592
Hunt,value-10,DBCE,DBCE,0,158,14.4418074,184.2899948,0.048467026,0.020799909,FALSE,203.5784101,0.019928909
Hunt,value-10,DBCE,DBCE,0,159,14.38199524,182.8957827,4.38E-06,0.005048355,TRUE,205.2910371,0.005049727
Hunt,value-10,DBCE,DBCE,0,160,20.95396676,127.1135694,4.47E-06,0.005120913,FALSE,206.4440293,0.036821994
Hunt,value-10,DBCE,DBCE,0,161,20.97461148,126.9794472,0.00224596,0.005133739,TRUE,207.6666319,0.069747275
Hunt,value-10,DBCE,DBCE,0,162,20.77600937,128.31474,0.003931388,0.006500207,TRUE,209.2733743,0.061454187
Hunt,value-10,DBCE,DBCE,0,163,18.42149665,148.2291914,3.88E-06,0.005087711,FALSE,210.4611998,0.058693531
Hunt,value-10,DBCE,DBCE,0,164,18.46408781,147.8382184,4.38E-06,0.005186306,TRUE,211.6759531,0.047421797
Hunt,value-10,DBCE,DBCE,0,165,21.27917321,124.1037777,3.61E-06,0.00519177,FALSE,212.9785256,0.044908505
Hunt,value-10,DBCE,DBCE,0,166,21.31136747,123.7978687,3.87E-06,0.005245759,TRUE,213.9689155,0.085815771
Hunt,value-10,DBCE,DBCE,0,167,14.34080137,182.7790363,4.36E-06,0.005347887,FALSE,215.118026,0.130096337
Hunt,value-10,DBCE,DBCE,0,168,21.39525672,123.0177667,3.47E-06,0.005305249,FALSE,216.8184929,0.085260396
Hunt,value-10,DBCE,DBCE,0,169,21.44814242,122.511017,3.49E-06,0.005369508,TRUE,217.7290699,0.104390837
Hunt,value-10,DBCE,DBCE,0,170,21.53341163,121.7278962,3.65E-06,0.0055409,TRUE,218.6466289,0.123089407
Hunt,value-10,DBCE,DBCE,0,171,21.01070324,126.1589926,6.54E-06,0.005601693,FALSE,220.0620954,0.104324205
Hunt,value-10,DBCE,DBCE,0,172,21.71194495,120.1916516,0.000524533,0.007750814,FALSE,221.3725934,0.077289035
Hunt,value-10,DBCE,DBCE,0,173,21.73120627,120.0025118,5.42E-06,0.007871033,TRUE,222.9621384,0.081798835
Hunt,value-10,DBCE,DBCE,0,174,19.52743267,138.8809214,0.000720229,0.008009602,FALSE,224.474098,0.136260785
Hunt,value-10,DBCE,DBCE,0,175,22.50139671,113.2967461,0.000391585,0.013056729,FALSE,225.8769393,0.077797826
Hunt,value-10,DBCE,DBCE,0,176,21.7495518,119.6846812,0.002374876,0.007785772,FALSE,227.154525,0.153351824
Hunt,value-10,DBCE,DBCE,0,177,14.9178896,177.9588636,0.000262544,0.008689127,FALSE,228.0870774,0.058950588
Hunt,value-10,DBCE,DBCE,0,178,21.99936703,117.6178871,6.19E-06,0.008690959,FALSE,229.0994012,0.082371262
Hunt,value-10,DBCE,DBCE,0,179,19.47890853,140.9795714,1.94E-05,0.008907339,FALSE,231.9488118,0.079946398
Hunt,value-10,DBCE,DBCE,0,180,22.13065928,116.4685801,6.04E-06,0.009150071,FALSE,232.8095343,0.03502024
Hunt,value-10,DBCE,DBCE,0,181,16.93602725,218.5123373,2.158976212,0.943843897,FALSE,235.0506001,0.774598659
Hunt,value-10,DBCE,DBCE,0,182,18.70818754,145.7728135,6.06E-06,0.009107773,FALSE,236.4599411,0.061603861
Hunt,value-10,DBCE,DBCE,0,183,19.35055671,140.1507669,7.40E-06,0.009306943,FALSE,237.6128678,0.010352786
