Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,run_time,check_CE,check_CE_origame
FairGamble,MDCE,MaxRew,ModRew,0,0,0.33821370111127513,0.0,0.1452893221224585,0.013017098672940939,False,2.343583106994629,17.77837627594827,21.391377892788906
FairGamble,MDCE,MaxRew,ModRew,0,1,48.04867574750544,0.0,0.11488681361570485,0.009473157725821142,False,3.0941901206970215,3.7507046286810612,0.8070825607183723
FairGamble,MDCE,MaxRew,ModRew,0,2,49.2218483290165,0.0,0.3309207551321478,0.019458732293570414,False,3.777364730834961,0.7159691645392305,0.7909854862115443
FairGamble,MDCE,MaxRew,ModRew,0,3,48.73886311450228,0.0,0.3034063522023942,0.018220915488108023,False,4.386765003204346,0.4338834176512475,0.6566444953506786
FairGamble,MDCE,MaxRew,ModRew,0,4,48.3822224684557,0.0,0.7034227425587503,0.050845226351426825,False,5.153460741043091,0.4547617068797489,0.050136818100735545
FairGamble,MDCE,MaxRew,ModRew,0,5,48.011294467665465,0.0,1.0602372795311936,0.07563233123208937,False,6.012166261672974,0.0963790490490788,0.12195833372329301
FairGamble,MDCE,MaxRew,ModRew,0,6,48.34969272217156,0.0,0.8247119804513829,0.05914459020013335,False,7.2508556842803955,0.4093098458322113,0.05852689996102678
FairGamble,MDCE,MaxRew,ModRew,0,7,48.018588438067674,0.0,1.1297217027138942,0.08020214933724112,False,8.794729948043823,0.08131349349898451,0.6986954598283818
FairGamble,MDCE,MaxRew,ModRew,0,8,49.003826303500404,0.0,0.3917884454075846,0.02512535184249201,False,9.885016441345215,0.1428433881311535,0.21575739521716653
FairGamble,MDCE,MaxRew,ModRew,0,9,49.0880802654906,0.0,0.3920526553952115,0.025281414395724622,False,10.49988317489624,0.3434066129458926,0.1391740191897184
FairGamble,MDCE,MaxRew,ModRew,0,10,49.11977775591266,0.0,0.40342701167153194,0.02560659658800249,False,11.470503330230713,0.12729806557507817,0.23889141747967102
FairGamble,MDCE,MaxRew,ModRew,0,11,48.99722630733534,0.0,0.5153660774929563,0.03174025054168955,False,12.148158550262451,0.36869676309549526,0.6480578020885612
FairGamble,MDCE,MaxRew,ModRew,0,12,48.720084883965335,0.0,0.7325046778322246,0.04686941675559009,False,13.031797409057617,0.11270437535169198,0.2895486932108564
FairGamble,MDCE,MaxRew,ModRew,0,13,48.8080806043975,0.0,0.6504104741821948,0.0408967572383761,False,14.385180234909058,0.1784268966788184,0.768819393529915
FairGamble,MDCE,MaxRew,ModRew,0,14,48.443933782175236,0.0,0.91999000398296,0.05315091905306546,False,15.53163194656372,0.3086159080207077,0.06217773320421363
FairGamble,MDCE,MaxRew,ModRew,0,15,48.408182160953224,0.0,0.8927204269100955,0.0517155811658071,False,17.15231442451477,0.5311192621185552,0.6762616302631248
FairGamble,MDCE,MaxRew,ModRew,0,16,48.09552808559388,0.0,1.0301063209933972,0.07153444640006396,False,17.774867057800293,0.07150304538623214,0.07118685484893078
FairGamble,MDCE,MaxRew,ModRew,0,17,47.63322615470299,0.0,1.2340630325054534,0.08486831559032876,False,19.277699947357178,0.7567609396588825,0.08478731824745682
FairGamble,MDCE,MaxRew,ModRew,0,18,47.50441713897624,0.0,1.2474113327995298,0.0859654868736952,False,20.850525856018066,0.19590554085676928,0.08670168921025831
FairGamble,MDCE,MaxRew,ModRew,0,19,47.39664144618064,0.0,1.2039761693520248,0.08349557725054332,False,21.729207515716553,0.082844192376412,0.6283114973046794
FairGamble,MDCE,MaxRew,ModRew,0,20,48.663164526447176,0.0,0.4231883829185463,0.026495085230881177,False,22.54702091217041,0.12763592170404325,0.607514702553993
FairGamble,MDCE,MaxRew,ModRew,0,21,48.86505678203734,0.0,0.3091252612135662,0.019481612858590402,False,23.514472246170044,0.8306612225739579,0.7205830744379442
FairGamble,MDCE,MaxRew,ModRew,0,22,48.80008353732446,0.0,0.3947170379741607,0.025650368674933477,False,24.40163493156433,0.3976644597037852,0.36982720739046226
FairGamble,MDCE,MaxRew,ModRew,0,23,48.78064748258145,0.0,0.39055815562951324,0.02481858876610077,False,25.354089736938477,0.2522631862748772,0.06511355513528083
FairGamble,MDCE,MaxRew,ModRew,0,24,49.18806388417195,0.0,0.08121256161638257,0.00425427174219276,False,26.101734399795532,0.20364140198645475,0.30055411444355135
FairGamble,MDCE,MaxRew,ModRew,0,25,48.43456871566669,0.0,0.5488708240423321,0.029226187400630432,False,26.716092586517334,0.08681121361515792,0.22642749766144904
FairGamble,MDCE,MaxRew,ModRew,0,26,48.40632178553113,0.0,0.5468662593189961,0.029109711599818122,False,27.37035846710205,0.21971044165527676,0.4270439713883669
FairGamble,MDCE,MaxRew,ModRew,0,27,48.66306862252401,0.0,0.3482524538951992,0.021578016429889685,False,28.258015394210815,0.5876430431547641,1.0711873114819783
FairGamble,MDCE,MaxRew,ModRew,0,28,47.34713109031012,0.0,1.2361561426604837,0.08237935468535977,False,30.21480655670166,0.3381691839378063,0.15986209924801975
FairGamble,MDCE,MaxRew,ModRew,0,29,48.96042554326741,0.0,0.27750909742520946,0.015162578029486305,False,31.734662294387817,0.19567876851078136,0.4877746444999028
FairGamble,MDCE,MaxRew,ModRew,0,30,47.441711043884936,0.0,1.0487992107180588,0.0705591492188321,False,33.3553581237793,0.08239776541715167,0.7027246314166737
FairGamble,MDCE,MaxRew,ModRew,0,31,48.187493182279795,0.0,0.6020691197731693,0.03787045380579837,False,34.0388662815094,0.23392924115800984,0.5301712207332276
FairGamble,MDCE,MaxRew,ModRew,0,32,48.503441343725555,0.0,0.3981191908851258,0.02533401282232092,False,34.71733736991882,0.43391824764946213,0.40115050824076
FairGamble,MDCE,MaxRew,ModRew,0,33,47.723142026712765,0.0,0.5915967976758196,0.034480614805028204,False,36.075110912323,0.4112586647240562,0.3662918203581149
FairGamble,MDCE,MaxRew,ModRew,0,34,46.5761414715123,0.0,0.7785668707094047,0.04018593655277841,False,37.4329879283905,0.7220425221733329,0.5832456371486363
FairGamble,MDCE,MaxRew,ModRew,0,35,48.248481840650165,0.0,0.3492116371418348,0.01860819812039638,False,38.11220932006836,0.12503683320028083,0.30597726984820395
FairGamble,MDCE,MaxRew,ModRew,0,36,48.65821256951053,0.0,0.18870701470994788,0.009907605507587432,False,39.67606520652771,0.24628511136588332,0.12708058691323254
FairGamble,MDCE,MaxRew,ModRew,0,37,48.59184315129496,0.0,0.09871248671957034,0.006458318144708253,False,40.56222701072693,0.274679939723375,0.1821935720243757
FairGamble,MDCE,MaxRew,ModRew,0,38,48.52686223005102,0.0,0.14050346484263798,0.007425395279862564,False,41.24042463302612,0.4751377730724382,0.5076468742601129
FairGamble,MDCE,MaxRew,ModRew,0,39,48.514708769025646,0.0,0.19001003282966877,0.01243494048870606,False,41.9506573677063,0.13017722626906264,0.1980880828629199
FairGamble,MDCE,MaxRew,ModRew,0,40,48.661105472738704,0.0,0.168124052381323,0.009018499425230985,False,42.97093081474304,0.35796399549581753,0.2999248206694244
FairGamble,MDCE,MaxRew,ModRew,0,41,48.51689768785611,0.0,0.27451115408413074,0.01784641512701697,False,43.584325313568115,0.17886685675078665,0.12136026658067389
FairGamble,MDCE,MaxRew,ModRew,0,42,47.152805122653334,0.0,0.9344599082304512,0.059947766978548624,False,45.47931265830994,0.5995019701909808,0.42497182831219193
FairGamble,MDCE,MaxRew,ModRew,0,43,46.67263473631215,0.0,1.0471285121952363,0.06822957882412373,False,47.04260849952698,0.0947829665410465,0.09922472639374813
FairGamble,MDCE,MaxRew,ModRew,0,44,46.75244367064644,0.0,1.0003953640245768,0.06613830312072537,False,48.07089018821716,0.06622470704107739,0.06843994595335937
FairGamble,MDCE,MaxRew,ModRew,0,45,46.96087765727828,0.0,0.8753496352048913,0.057028683234738996,False,49.47654128074646,0.6039805950882859,0.05620550150423291
FairGamble,MDCE,MaxRew,ModRew,0,46,46.45783899526764,0.0,1.1661428831042997,0.07471457269598418,False,50.09142351150513,0.5170168075609337,0.7785322049850267
FairGamble,MDCE,MaxRew,ModRew,0,47,48.67962724722924,0.0,0.2014852018893265,0.012763924276450954,False,50.97207045555115,0.17486038806213822,0.180488196449017
FairGamble,MDCE,MaxRew,ModRew,0,48,48.82035165945054,0.0,0.2148367231849022,0.013358537693382643,False,51.78888750076294,0.2818494958881663,0.24063254184911126
FairGamble,MDCE,MaxRew,ModRew,0,49,47.60368383318963,0.0,0.7416721528459718,0.0387308798049949,False,52.53688836097717,0.22694326330628437,0.4172879343091395
FairGamble,MDCE,MaxRew,ModRew,0,50,48.52080430346304,0.0,0.39998847860195497,0.020360968690651383,False,53.31512117385864,0.3088368707029875,0.10859127715946604
