,Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,run_time,check_CE
0,Hunt,value-10,MaxRew,constrained,0,0,5.000123340084809,296.0022990307816,5.498785791147043e-06,0.0001002997305366,False,2.753999948501587,0.0004613492455745
1,Hunt,value-10,MaxRew,constrained,0,1,5.000127796433764,296.5074435181781,4.718100647949086e-07,0.0003569396543163,False,3.449000120162964,1.4485546901317006
2,Hunt,value-10,MaxRew,constrained,0,2,5.000139947378848,296.2104678988864,9.415397645540224e-06,0.000412064177257,False,4.431999921798706,0.0608495737040438
3,Hunt,value-10,MaxRew,constrained,0,3,5.0001314898494265,296.4654914077444,4.810658182918814e-07,0.000428500168821,False,5.294999599456787,0.0339239059718401
4,Hunt,value-10,MaxRew,constrained,0,4,5.000132795013244,295.1713488260796,3.064120381424118e-06,0.0004203189867834,False,6.211999893188477,0.0004218236266495
5,Hunt,value-10,MaxRew,constrained,0,5,5.000133515008272,295.0641615880576,4.716973265317392e-06,0.0004193268488389,False,6.947999954223633,0.0004208833422048
6,Hunt,value-10,MaxRew,constrained,0,6,5.000133941805903,294.59498536960547,3.6687799038759294e-06,0.0004180189144687,False,7.8540003299713135,0.0004197234959892
7,Hunt,value-10,MaxRew,constrained,0,7,5.000134686536821,295.80564526486273,4.192591362084386e-06,0.0004249286125707,False,9.174999713897703,0.000426439742534
8,Hunt,value-10,MaxRew,constrained,0,8,5.000131926629852,296.45903576914054,4.869203280577494e-07,0.0004372023313439,False,10.04200005531311,0.0473833481285906
9,Hunt,value-10,MaxRew,constrained,0,9,5.000133920832212,295.99668874264944,6.06614967679775e-06,0.0004248933794143,False,12.125,0.0004265565326944
10,Hunt,value-10,MaxRew,constrained,0,10,5.0001430564727904,294.5478526696986,1.0033353454730332e-05,0.0004244022326874,False,13.265999794006348,0.0004261918160903
11,Hunt,value-10,MaxRew,constrained,0,11,5.000133582878355,296.1980628153103,3.441754014232856e-06,0.0004347332807712,False,14.307999849319458,0.0004363259927931
12,Hunt,value-10,MaxRew,constrained,0,12,5.000305952326608,294.5851211977076,0.0001084228889389,0.0008057532024125,False,15.274001359939575,0.0008088187175206
13,Hunt,value-10,MaxRew,constrained,0,13,5.00013559753415,295.6265662845043,6.670391538676768e-06,0.0004293471612523,False,16.194000005722046,0.0004305984783457
14,Hunt,value-10,MaxRew,constrained,0,14,5.000143755139803,294.5939833920275,5.643417228640146e-06,0.0004381890259515,False,17.175999879837036,0.0004398175048305
15,Hunt,value-10,MaxRew,constrained,0,15,5.000167961336247,295.66436928228507,1.891902231676568e-05,0.0004321624448883,False,18.55099987983704,0.0004337197302527
16,Hunt,value-10,MaxRew,constrained,0,16,5.000132528226999,296.4464456491037,4.840420935181555e-07,0.0004511313884734,False,19.651000261306763,0.0659121658847933
17,Hunt,value-10,MaxRew,constrained,0,17,5.000132529067834,296.4471898169352,4.829074704559844e-07,0.0004527618080406,True,20.86999988555908,0.0990450521839033
18,Hunt,value-10,MaxRew,constrained,0,18,5.000133355831919,296.1944009384415,1.8002552479856604e-06,0.0004492268029618,False,21.71999955177307,0.0222617218956264
19,Hunt,value-10,MaxRew,constrained,0,19,5.000132530612135,296.4463926455022,4.841276783906778e-07,0.0004556509537343,False,22.58899974822998,0.0460825325801016
20,Hunt,value-10,MaxRew,constrained,0,20,5.000135228851127,296.1955967132591,5.00747414378111e-06,0.0004439743133248,False,23.81500005722046,0.0569078889596963
21,Hunt,value-10,MaxRew,constrained,0,21,5.000136838991283,296.19533014534426,1.6185288238546036e-06,0.0004557327623356,False,25.14299988746643,0.017826360110167
22,Hunt,value-10,MaxRew,constrained,0,22,5.000132352459184,296.4461568896577,4.828089252839618e-07,0.000459697862224,False,25.892000675201416,0.000834932020297
23,Hunt,value-10,MaxRew,constrained,0,23,5.000132381732222,296.4458892770732,5.047102682453897e-07,0.0004612907882591,True,26.94700026512146,0.0756735546779579
24,Hunt,value-10,MaxRew,constrained,0,24,5.00013189892646,295.7651387025008,2.645842339887849e-06,0.0004562691954637,False,27.811999797821045,0.000457810943139
25,Hunt,value-10,MaxRew,constrained,0,25,5.000132226599797,296.1949532107574,2.8933092401928207e-06,0.0004554483973668,False,28.726999759674072,0.0004571735578962
26,Hunt,value-10,MaxRew,constrained,0,26,5.000137939537414,295.1704952236164,8.107319366956744e-06,0.0004476892595283,False,29.5149998664856,0.0004493676427141
