Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,run_time,check_CE
CaE,balance,DBCE,DBCE,0,43,0.750366512,372.8538318,9.44E-06,0.000542342,FALSE,52.60663795,0.757495342
CaE,balance,DBCE,DBCE,0,44,0.376026523,405.0158397,1.944315702,0.000534855,FALSE,53.71371627,1.11358961
CaE,balance,DBCE,DBCE,0,45,0.221526891,373.7829372,9.38E-06,0.000525955,FALSE,55.73786974,0.670120567
CaE,balance,DBCE,DBCE,0,46,0.758864249,374.1386694,9.47E-06,0.000518876,FALSE,56.65543008,0.432180649
CaE,balance,DBCE,DBCE,0,47,0.541406076,374.598844,7.73E-05,0.000591839,FALSE,58.33394456,0.256736283
CaE,balance,DBCE,DBCE,0,48,0.445407407,376.7162807,0.012993942,0.028855504,FALSE,59.66140962,1.495563447
CaE,balance,DBCE,DBCE,0,49,3.850577921,365.0589303,2.36E-05,0.001012287,FALSE,60.78341269,3.188570184
CaE,balance,DBCE,DBCE,0,50,0.056968768,383.1794901,9.63E-06,0.000551733,FALSE,62.42404437,2.355028134
CaE,balance,DBCE,DBCE,0,51,2.478567161,370.2410248,1.71E-05,0.000893671,FALSE,63.50517607,2.701324608
CaE,balance,DBCE,DBCE,0,52,2.56249535,388.6858288,9.44E-06,0.000492693,FALSE,64.45914435,0.670559757
CaE,balance,DBCE,DBCE,0,53,0.187617816,668.5181511,7.887484625,0.031143845,FALSE,65.95116854,1.856299105
CaE,balance,DBCE,DBCE,0,54,2.601764142,381.3943005,9.47E-06,0.000487031,FALSE,67.47363329,3.542293337
CaE,balance,DBCE,DBCE,0,55,0.037129044,730.6465931,7.455142675,0.000718991,FALSE,70.38891912,0.000718494
CaE,balance,DBCE,DBCE,0,56,0.809322297,381.9514947,9.46E-06,0.000485428,FALSE,72.70875788,2.543735977
CaE,balance,DBCE,DBCE,0,57,69.68521402,450.4390066,8.93E-06,0.000484692,FALSE,74.01825833,0.003352858
CaE,balance,DBCE,DBCE,0,58,64.51930997,445.1860659,9.31E-06,0.000494216,FALSE,75.69981718,0.000502031
CaE,balance,DBCE,DBCE,0,59,59.94064784,440.5291671,1.19E-05,0.000502709,FALSE,76.48627734,0.000507771
CaE,balance,DBCE,DBCE,0,60,48.68791183,429.0869563,9.42E-06,0.000507024,FALSE,78.03664398,0.000510292
CaE,balance,DBCE,DBCE,0,61,25.00106133,405.0003081,9.55E-06,0.000510288,FALSE,80.1834929,0.000516873
CaE,balance,DBCE,DBCE,0,62,25.00181573,405.0010736,9.54E-06,0.000516886,FALSE,81.29156184,0.000520008
CaE,balance,DBCE,DBCE,0,63,25.00197817,405.0012641,9.38E-06,0.000519994,FALSE,82.34329104,0.000523657
CaE,balance,DBCE,DBCE,0,64,25.0024539,405.0016944,9.52E-06,0.00052367,FALSE,83.15715933,0.000526678
CaE,balance,DBCE,DBCE,0,65,25.46849431,405.5014528,0.00377839,0.000526868,FALSE,85.16785765,0.000528063
CaE,balance,DBCE,DBCE,0,66,25.00271321,405.0027585,4.09E-06,0.000559888,FALSE,86.09440899,0.000562858
CaE,balance,DBCE,DBCE,0,67,25.00316585,405.002562,1.41E-05,0.000550294,FALSE,87.74603176,0.000552656
CaE,balance,DBCE,DBCE,0,68,25.00328035,405.0024507,9.29E-06,0.000533205,FALSE,88.68707752,0.000537319
CaE,balance,DBCE,DBCE,0,69,25.00346595,405.0027207,9.50E-06,0.000537308,FALSE,90.3641603,0.000539648
CaE,balance,DBCE,DBCE,0,70,25.00362997,405.0028819,9.49E-06,0.000539766,FALSE,92.18731689,0.000543849
CaE,balance,DBCE,DBCE,0,71,25.00373741,405.0033823,1.05E-05,0.000543729,FALSE,93.37965775,0.000545474
CaE,balance,DBCE,DBCE,0,72,25.00392534,405.0031987,9.45E-06,0.000546402,FALSE,94.51814342,0.000549883
CaE,balance,DBCE,DBCE,0,73,23.86566051,410.1217922,0.011062351,0.013852653,FALSE,96.51835132,0.017387615
CaE,balance,DBCE,DBCE,0,74,25.00421003,405.0034868,9.48E-06,0.000552427,FALSE,97.3292141,0.000554733
CaE,balance,DBCE,DBCE,0,75,25.00434507,405.0035447,9.31E-06,0.000554737,FALSE,98.54898381,0.000558764
CaE,balance,DBCE,DBCE,0,76,25.00435059,405.0032221,9.47E-06,0.000558757,FALSE,99.82710767,0.000559905
CaE,balance,DBCE,DBCE,0,77,25.00458984,405.0037874,9.32E-06,0.000559934,FALSE,100.7516825,0.000562801
CaE,balance,DBCE,DBCE,0,78,25.00470638,405.0039102,9.31E-06,0.000562773,FALSE,102.1968694,0.000567917
CaE,balance,DBCE,DBCE,0,79,25.00479861,405.0040277,9.32E-06,0.000567961,FALSE,103.5604303,0.000570241
CaE,balance,DBCE,DBCE,0,80,25.00479898,405.0035714,9.32E-06,0.000570195,FALSE,104.8390689,0.000573038
CaE,balance,DBCE,DBCE,0,81,25.00501499,405.0042182,9.32E-06,0.000573049,FALSE,106.5684674,0.000576453
