,Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,run_time,check_CE
0,CaE,balance,MaxRew,constrained,0,0,19.845785850972128,444.17706828285935,1.381909664800046e-05,2.540686879932432e-05,False,3.6159942150115967,0.0098978514390195
1,CaE,balance,MaxRew,constrained,0,1,20.009060278466517,444.2481086206111,9.859502342732653e-06,0.0006140632555405,False,4.6899943351745605,0.0089948134415402
2,CaE,balance,MaxRew,constrained,0,2,24.99999999841752,389.7515252327604,0.0148446167170455,1.1245245882988044,False,5.925994157791138,8.169382800471901
3,CaE,balance,MaxRew,constrained,0,3,18.807742128157727,443.5326269558201,0.0013774979017284,0.0170674936907175,False,6.723994016647339,0.015778628833716
4,CaE,balance,MaxRew,constrained,0,4,24.99999999955735,412.2978498556327,9.411974517092858e-06,0.0006898124011062,False,7.315994262695312,0.000659076374395
5,CaE,balance,MaxRew,constrained,0,5,25.001265114925182,446.937964182892,0.0021768728559559,0.0192544518502764,False,8.01099443435669,0.0015197136094837
6,CaE,balance,MaxRew,constrained,0,6,25.000001206535984,435.88509597479504,8.091262284182221e-06,0.000652518827452,False,8.722994089126587,0.0006382609695251
7,CaE,balance,MaxRew,constrained,0,7,23.28674177681986,455.9651122313503,0.0001009808444762,0.0006382345570193,False,9.353994369506836,0.0006460989464278
8,CaE,balance,MaxRew,constrained,0,8,25.000009636727988,435.5094506952541,4.923374596899066e-06,0.0006461160551115,False,10.32599425315857,0.0006326246565887
9,CaE,balance,MaxRew,constrained,0,9,25.00000471615698,436.1838273993298,1.223810666317604e-05,0.0006326282302223,False,10.802994012832642,0.0006311438315247
10,CaE,balance,MaxRew,constrained,0,10,25.056500890356148,436.87340773362,0.0440214047412013,0.7025777886200651,False,11.310994148254396,0.0109546848945642
11,CaE,balance,MaxRew,constrained,0,11,24.999998365250026,435.51970205474026,9.852825463951833e-06,0.0006365185612562,False,11.92199420928955,0.0006311164023295
12,CaE,balance,MaxRew,constrained,0,12,25.000000010204435,419.3588280160387,9.410322119762782e-06,0.0006258698967883,False,12.442993879318236,0.0288143410436059
13,CaE,balance,MaxRew,constrained,0,13,24.804205594199797,439.1312012778431,0.0005018512470584,0.0017711543009113,False,13.133994340896606,0.0009555216598593
14,CaE,balance,MaxRew,constrained,0,14,25.000018153943792,434.5312888362152,1.254162636143974e-05,0.0006193947628089,False,13.856994390487673,0.0006135207870278
15,CaE,balance,MaxRew,constrained,0,15,24.99999918681587,436.2934806833256,1.0287265373776222e-05,0.0006149298514524,False,14.448994159698486,0.0006129650929983
16,CaE,balance,MaxRew,constrained,0,16,9.773195063246284,441.3176076280611,0.004490113610494,0.0007983379745439,False,15.218994617462158,0.0006134658975195
17,CaE,balance,MaxRew,constrained,0,17,24.99999999948044,409.3018404121485,3.2511851287608806e-05,0.0016914730671857,False,15.811994314193726,0.261585131909366
18,CaE,balance,MaxRew,constrained,0,18,41.08537367898859,1479.006412496346,7.7168593111089905,0.0638771241507356,False,16.85599422454834,0.0370065693439221
19,CaE,balance,MaxRew,constrained,0,19,25.000000002359084,408.89989719219096,9.410329866454958e-06,0.0006075189204353,False,17.412994146347046,0.7267137476544333
20,CaE,balance,MaxRew,constrained,0,20,25.27775688433712,446.6279298462,0.1988855039618258,0.2680349238400481,False,18.294994354248047,0.0008704668845103
21,CaE,balance,MaxRew,constrained,0,21,25.000000000030703,414.0363877812399,0.0003242076253258,0.0166695216288203,False,18.78499412536621,0.4711861547669717
22,CaE,balance,MaxRew,constrained,0,22,25.000002876072543,422.11038765093775,0.0001043670550799,0.0043433272069961,False,19.13499402999878,0.0006009280963898
23,CaE,balance,MaxRew,constrained,0,23,25.00000000051402,414.3903064325944,3.919052926448785e-05,0.0020463879111527,False,19.699994325637817,1.7356940886801144
24,CaE,balance,MaxRew,constrained,0,24,25.009402849485525,414.8807752967281,0.0069438978614613,0.0257607977121239,False,20.494994401931763,2.5077892657029044
25,CaE,balance,MaxRew,constrained,0,25,25.00001124833915,434.9172380996622,9.922704053977329e-06,0.0005974289352696,False,21.00299406051636,0.0005995117612607
26,CaE,balance,MaxRew,constrained,0,26,25.003753689316163,426.07264776108025,0.0008373843624411,0.0078227158158199,False,21.65299415588379,0.000600112645858
27,CaE,balance,MaxRew,constrained,0,27,24.9999999999216,415.86811673701175,9.407080899137554e-06,0.0006001107588092,False,22.1159942150116,0.0005995898204457
28,CaE,balance,MaxRew,constrained,0,28,25.00000010300097,416.1690396442119,9.4696928645277e-06,0.0005995893236646,False,22.678994178771973,0.0005986983331496
29,CaE,balance,MaxRew,constrained,0,29,24.99743943422308,447.2370754276338,0.0045480124472945,0.0759197449774005,False,23.34799528121948,0.0006863912403572
30,CaE,balance,MaxRew,constrained,0,30,25.00002186375209,432.8209739873071,1.710979794822265e-05,0.0006004897367493,False,24.161994457244877,0.0006022636136386
31,CaE,balance,MaxRew,constrained,0,31,25.01021559177547,417.3917356194411,0.0034481842323721,0.044922589319384,False,24.65199422836304,0.0006020273199605
32,CaE,balance,MaxRew,constrained,0,32,25.000007346791406,417.5666520952301,9.41176622681894e-06,0.0006021981647413,False,25.473994493484497,0.0006026228869349
33,CaE,balance,MaxRew,constrained,0,33,23.03387461320065,438.2503431783221,2.5639970566260217e-05,0.0006116338488954,False,26.210994005203247,0.0006015707838472
34,CaE,balance,MaxRew,constrained,0,34,25.00000249982148,417.8789635291493,9.667182810702002e-06,0.0006017266059529,False,26.871994256973267,0.0006018887205781
